Postdate,Valdate,Details,Amount,UD1
01-Jan-24,01-Jan-24,REF  100004240101090343110147619067   _8840209035,"26,000.00",100004240101090343110147619067
01-Jan-24,01-Jan-24,REF  090267240101101104279050704550   _8440208809,"13,500.00",090267240101101104279050704550
01-Jan-24,01-Jan-24,REF  100033240101091150000000769212   _4000248614,"2,700.00",100033240101091150000000769212
01-Jan-24,01-Jan-24,REF  000013240101101622000061337561   _8440209034,"2,800.00",000013240101101622000061337561
01-Jan-24,01-Jan-24,REF  100014240101101642755323485448   _0000033017,"13,000.00",100014240101101642755323485448
01-Jan-24,01-Jan-24,REF  000006240101101721363752693587   _1002552953,"30,000.00",000006240101101721363752693587
01-Jan-24,01-Jan-24,REF  100004240101092138110148050054   _4000248617,"4,000.00",100004240101092138110148050054
01-Jan-24,01-Jan-24,REF  000015240101102250181612002492   _8840206455,"2,000.00",000015240101102250181612002492
01-Jan-24,01-Jan-24,REF  000016240101102345000089806754   _4000248616,"30,000.00",000016240101102345000089806754
01-Jan-24,01-Jan-24,REF  000015240101102629103571011146   _0000680140,"450,050.00",000015240101102629103571011146
01-Jan-24,01-Jan-24,REF  000014240101103222238503243555   _8441501147,"10,000.00",000014240101103222238503243555
01-Jan-24,01-Jan-24,REF  000001240101103842749928446437   _4000248619,"7,600.00",000001240101103842749928446437
01-Jan-24,01-Jan-24,REF  100004240101094238110148906269   _8440206681,"1,720.60",100004240101094238110148906269
01-Jan-24,01-Jan-24,REF  100004240101094335110148708212   _0000224008,"3,310.00",100004240101094335110148708212
01-Jan-24,01-Jan-24,REF  000015240101104411515722008310   _8441389411,"5,000.00",000015240101104411515722008310
01-Jan-24,01-Jan-24,REF  000012240101104749294494980000   _4000248621,"18,640.00",000012240101104749294494980000
01-Jan-24,01-Jan-24,REF  000013240101104955000061403499   _4000248623,"4,680.00",000013240101104955000061403499
01-Jan-24,01-Jan-24,REF  000013240101105006000061403815   _4000179823,"20,700.00",000013240101105006000061403815
01-Jan-24,01-Jan-24,REF  100004240101095017110148951073   _8840209035,"20,000.00",100004240101095017110148951073
01-Jan-24,01-Jan-24,REF  000016240101105326000089953554   _4000248624,"30,000.00",000016240101105326000089953554
01-Jan-24,01-Jan-24,REF  100033240101095713000000934726   _0000262896,350.00,100033240101095713000000934726
01-Jan-24,01-Jan-24,REF  000008240101105735455917913209   _4000248625,"1,450.00",000008240101105735455917913209
01-Jan-24,01-Jan-24,REF  100004240101100004110149441677   _8120956540,"2,000.00",100004240101100004110149441677
01-Jan-24,01-Jan-24,REF  000001240101110004032600156307   _0000100571,"10,000,000.00",000001240101110004032600156307
01-Jan-24,01-Jan-24,REF  100033240101100341000000959213   _8154796329,"25,000.00",100033240101100341000000959213
01-Jan-24,01-Jan-24,REF  100004240101100944110149566359   _4000248627,"30,000.00",100004240101100944110149566359
01-Jan-24,01-Jan-24,REF  100004240101101301110150178531   _1002552737,"5,462.00",100004240101101301110150178531
01-Jan-24,01-Jan-24,REF  100004240101101344110150086229   _4000248628,"30,000.00",100004240101101344110150086229
01-Jan-24,01-Jan-24,REF  100004240101102011110150231834   _4000248629,"30,000.00",100004240101102011110150231834
01-Jan-24,01-Jan-24,REF  100004240101102746110149701679   _4000248631,"30,000.00",100004240101102746110149701679
01-Jan-24,01-Jan-24,REF  000015240101112911428160019602   _8840206455,"3,000.00",000015240101112911428160019602
01-Jan-24,01-Jan-24,REF  000001240101112922566429613181   _0000100571,"10,000,000.00",000001240101112922566429613181
01-Jan-24,01-Jan-24,REF  000015240101113055349994001817   _0000262896,"7,650.00",000015240101113055349994001817
01-Jan-24,01-Jan-24,REF  100004240101103222110149736706   _0000392289,"200,050.00",100004240101103222110149736706
01-Jan-24,01-Jan-24,REF  100033240101103448000001076275   _8840203990,"1,500.00",100033240101103448000001076275
01-Jan-24,01-Jan-24,REF  000013240101113452000061493919   _4000248634,"10,135.00",000013240101113452000061493919
01-Jan-24,01-Jan-24,REF  000004240101103646971141474625   _8441975641,"25,000.00",000004240101103646971141474625
01-Jan-24,01-Jan-24,REF  100004240101103832110150029381   _0000392289,"500,100.00",100004240101103832110150029381
01-Jan-24,01-Jan-24,REF  100033240101104103000001099651   _8163739406,"100,000.00",100033240101104103000001099651
01-Jan-24,01-Jan-24,REF  000013240101114210000061508692   _8840209089,"10,000.00",000013240101114210000061508692
01-Jan-24,01-Jan-24,REF  100004240101104315110151331631   _8100861822,100.00,100004240101104315110151331631
01-Jan-24,01-Jan-24,REF  000001240101114327745929604990   _0000100571,"5,000,000.00",000001240101114327745929604990
01-Jan-24,01-Jan-24,REF  100033240101104704000001122182   _9130656706,"5,000.00",100033240101104704000001122182
01-Jan-24,01-Jan-24,REF  100033240101104740000001124428   _9136880147,"5,000.00",100033240101104740000001124428
01-Jan-24,01-Jan-24,REF  000013240101115404000061526647   _8840204990,"20,000.00",000013240101115404000061526647
01-Jan-24,01-Jan-24,REF  100033240101105504000001151515   _4000174966,500.00,100033240101105504000001151515
01-Jan-24,01-Jan-24,REF  100004240101105521110151420739   _0000392289,"100,050.00",100004240101105521110151420739
01-Jan-24,01-Jan-24,REF  100004240101110342110151194242   _0000224015,"57,250.00",100004240101110342110151194242
01-Jan-24,01-Jan-24,REF  000013240101120359000061545175   _4000248637,"1,490.00",000013240101120359000061545175
01-Jan-24,01-Jan-24,REF  100004240101110420110150858363   _8154796329,"21,200.00",100004240101110420110150858363
01-Jan-24,01-Jan-24,REF  000014240101120532286493161125   _4000248636,"1,950.00",000014240101120532286493161125
01-Jan-24,01-Jan-24,REF  100004240101110601110150625139   _0000474106,"700,700.00",100004240101110601110150625139
01-Jan-24,01-Jan-24,REF  090529240101110915686977707518   _4000248639,"9,300.00",090529240101110915686977707518
01-Jan-24,01-Jan-24,REF  000002240101121350427084038898   _0605008704,"144,200.00",000002240101121350427084038898
01-Jan-24,01-Jan-24,REF  000013240101121510000061564966   _8840208630,"6,000.00",000013240101121510000061564966
01-Jan-24,01-Jan-24,REF  100033240101112015000001243076   _0000210012,"111,000.00",100033240101112015000001243076
01-Jan-24,01-Jan-24,REF  000014240101122028261863414976   _8441447560,"2,000.00",000014240101122028261863414976
01-Jan-24,01-Jan-24,REF  100004240101112132110151996166   _8840208891,"20,000.00",100004240101112132110151996166
01-Jan-24,01-Jan-24,REF  100004240101112337110151520646   _8441672050,"28,800.00",100004240101112337110151520646
01-Jan-24,01-Jan-24,REF  090267240101122746488042972008   _1002551838,"5,315.00",090267240101122746488042972008
01-Jan-24,01-Jan-24,REF  100004240101112825110151886509   _0000262896,"1,100.00",100004240101112825110151886509
01-Jan-24,01-Jan-24,REF  000004240101123156917517716474   _8052199840,"10,000.00",000004240101123156917517716474
01-Jan-24,01-Jan-24,REF  090267240101123326300002089896   _7012402300,"100,000.00",090267240101123326300002089896
01-Jan-24,01-Jan-24,REF  090267240101124025573503244003   _9150150029,820.00,090267240101124025573503244003
01-Jan-24,01-Jan-24,REF  000004240101114818718254839048   _8840208108,"14,000.00",000004240101114818718254839048
