Postdate,Valdate,Details,Amount,UD1
01-Jan-24,01-Jan-24,REF  100033240101180917000002613501   _9168064955,"1,000.00",100033240101180917000002613501
01-Jan-24,01-Jan-24,REF  000001240101190945000291514583   _0000474106,"300,000.00",000001240101190945000291514583
01-Jan-24,01-Jan-24,REF  000013240101191653000062310426   _4000248721,"12,200.00",000013240101191653000062310426
01-Jan-24,01-Jan-24,REF  000013240101191704000062311377   _8840208892,"14,850.00",000013240101191704000062311377
01-Jan-24,01-Jan-24,REF  000014240101192110257221402013   _4000248722,"7,580.00",000014240101192110257221402013
01-Jan-24,01-Jan-24,REF  100033240101182245000002664227   _4000179544,"3,900.00",100033240101182245000002664227
01-Jan-24,01-Jan-24,REF  000013240101193054000062336130   _8440159683,"5,000.00",000013240101193054000062336130
01-Jan-24,01-Jan-24,REF  000014240101193108210882630951   _1002553060,"8,508.00",000014240101193108210882630951
01-Jan-24,01-Jan-24,REF  090267240101193254121028009102   _4000248723,"3,200.00",090267240101193254121028009102
01-Jan-24,01-Jan-24,REF  000013240101193400000062341551   _1002552931,"5,462.00",000013240101193400000062341551
01-Jan-24,01-Jan-24,REF  100004240101184556110163364622   _4000248725,"2,850.00",100004240101184556110163364622
01-Jan-24,01-Jan-24,REF  100033240101184708000002753438   _0000262896,750.00,100033240101184708000002753438
01-Jan-24,01-Jan-24,REF  100033240101184924000002761569   _9135804570,900.00,100033240101184924000002761569
01-Jan-24,01-Jan-24,REF  000013240101195511000062378487   _4000248726,"2,178.00",000013240101195511000062378487
01-Jan-24,01-Jan-24,REF  000015240101195656772583005536   _8440208794,"3,260.00",000015240101195656772583005536
01-Jan-24,01-Jan-24,REF  000003240101195754002757186109   _4000248727,"2,000.00",000003240101195754002757186109
01-Jan-24,01-Jan-24,REF  000013240101195836000062384555   _8840204990,"10,000.00",000013240101195836000062384555
01-Jan-24,01-Jan-24,REF  000014240101195845267496611709   _1002553118,"19,016.00",000014240101195845267496611709
01-Jan-24,01-Jan-24,REF  100004240101185921110164181262   _8167375113,"2,000.00",100004240101185921110164181262
01-Jan-24,01-Jan-24,REF  000004240101200242492616969754   _4000248728,"2,178.00",000004240101200242492616969754
01-Jan-24,01-Jan-24,REF  000004240101200303725143143257   _8440209134,"3,340.00",000004240101200303725143143257
01-Jan-24,01-Jan-24,REF  000012240101200720294608277000   _8440209152,"16,715.00",000012240101200720294608277000
01-Jan-24,01-Jan-24,REF  000015240101201043832194018258   _8440208794,"10,100.00",000015240101201043832194018258
01-Jan-24,01-Jan-24,REF  100004240101191543110164639372   _1002553139,"30,000.00",100004240101191543110164639372
01-Jan-24,01-Jan-24,REF  000014240101201901261589671192   _1002553140,"8,508.00",000014240101201901261589671192
01-Jan-24,01-Jan-24,REF  000013240101202708000062432120   _4000248729,"2,178.00",000013240101202708000062432120
01-Jan-24,01-Jan-24,REF  090267240101203527883050704550   _8440208809,"2,500.00",090267240101203527883050704550
01-Jan-24,01-Jan-24,REF  000013240101203812000062450278   _4000248730,"2,178.00",000013240101203812000062450278
01-Jan-24,01-Jan-24,REF  000004240101203932976166308878   _8840208610,"40,000.00",000004240101203932976166308878
01-Jan-24,01-Jan-24,REF  000013240101204635000062463775   _4000248731,"2,178.00",000013240101204635000062463775
01-Jan-24,01-Jan-24,REF  100004240101194914110164924145   _4000248732,"30,000.00",100004240101194914110164924145
01-Jan-24,01-Jan-24,REF  000012240101205021294615607000   _8440209152,"3,920.00",000012240101205021294615607000
01-Jan-24,01-Jan-24,REF  090267240101205157894050704550   _8440208809,950.00,090267240101205157894050704550
01-Jan-24,01-Jan-24,REF  100004240101195321110165536948   _4000248733,"5,462.00",100004240101195321110165536948
01-Jan-24,01-Jan-24,REF  100004240101195607110165554890   _4000248735,"5,462.00",100004240101195607110165554890
01-Jan-24,01-Jan-24,REF  100004240101195854110165233719   _4000248736,"5,462.00",100004240101195854110165233719
01-Jan-24,01-Jan-24,REF  090405240101205855097382016249   _0000341052,"460,000.00",090405240101205855097382016249
01-Jan-24,01-Jan-24,REF  100004240101200035110164997261   _0000224015,"41,500.00",100004240101200035110164997261
01-Jan-24,01-Jan-24,REF  000013240101210132000062486678   _4000248737,"2,178.00",000013240101210132000062486678
01-Jan-24,01-Jan-24,REF  100004240101200155110165252564   _4000248738,"5,462.00",100004240101200155110165252564
01-Jan-24,01-Jan-24,REF  000015240101210458740099018720   _8063125421,"13,600.00",000015240101210458740099018720
01-Jan-24,01-Jan-24,REF  100004240101200642110165621084   _8440209103,"18,500.00",100004240101200642110165621084
01-Jan-24,01-Jan-24,REF  000013240101210710000062495118   _0000262896,750.00,000013240101210710000062495118
01-Jan-24,01-Jan-24,REF  000012240101211228294619186000   _8440209152,"3,700.00",000012240101211228294619186000
01-Jan-24,01-Jan-24,REF  000014240101211618273966630742   _4000248739,"2,178.00",000014240101211618273966630742
01-Jan-24,01-Jan-24,REF  100004240101201956110166000905   _8154796329,"7,200.00",100004240101201956110166000905
01-Jan-24,01-Jan-24,REF  100002240101212253000818750800   _4000248740,"2,178.00",100002240101212253000818750800
01-Jan-24,01-Jan-24,REF  100033240101202257000003058622   _8154796329,"25,000.00",100033240101202257000003058622
01-Jan-24,01-Jan-24,REF  100033240101202546000003065951   _8131099192,"153,500.00",100033240101202546000003065951
01-Jan-24,01-Jan-24,REF  100004240101202917110166501640   _9066172383,"5,000.00",100004240101202917110166501640
01-Jan-24,01-Jan-24,REF  100033240101203805000003097101   _0000561142,"3,150.00",100033240101203805000003097101
01-Jan-24,01-Jan-24,REF  100004240101204527110166842946   _8120956540,600.00,100004240101204527110166842946
01-Jan-24,01-Jan-24,REF  100004240101204551110166992258   _0000561142,"1,700.00",100004240101204551110166992258
01-Jan-24,01-Jan-24,REF  100004240101205812110167107041   _8120956540,"1,000.00",100004240101205812110167107041
01-Jan-24,01-Jan-24,REF  000004240101210258280268724293   _4000248741,"40,322.50",000004240101210258280268724293
01-Jan-24,01-Jan-24,REF  100004240101210900110167156758   _8440118447,"1,000.00",100004240101210900110167156758
01-Jan-24,01-Jan-24,REF  100004240101211531110166968550   _1002553166,"30,000.00",100004240101211531110166968550
01-Jan-24,01-Jan-24,REF  000013240101221720000062578352   _4000248742,"2,178.00",000013240101221720000062578352
01-Jan-24,01-Jan-24,REF  000014240101223645289770096588   _4000248744,"2,178.00",000014240101223645289770096588
01-Jan-24,01-Jan-24,REF  090267240101223715343050704550   _8440208809,"10,100.00",090267240101223715343050704550
01-Jan-24,01-Jan-24,REF  000016240101224404000092750976   _4000248745,"2,178.00",000016240101224404000092750976
01-Jan-24,01-Jan-24,REF  100004240101214513110167549243   _1002553176,"30,000.00",100004240101214513110167549243
01-Jan-24,01-Jan-24,REF  100004240101214902110167561281   _8840208049,"1,500.00",100004240101214902110167561281
01-Jan-24,01-Jan-24,REF  000014240101225200228099916865   _4000248746,"2,178.00",000014240101225200228099916865
01-Jan-24,01-Jan-24,REF  100004240101220246110168188162   _0000224008,"71,910.00",100004240101220246110168188162
01-Jan-24,01-Jan-24,REF  100004240101220248110168188278   _8440126459,"3,000.00",100004240101220248110168188278
01-Jan-24,01-Jan-24,REF  000001240101230008259142860182   _0000100571,"10,000,000.00",000001240101230008259142860182
01-Jan-24,01-Jan-24,REF  100004240101221452110168638816   _4000248747,"2,178.00",100004240101221452110168638816
01-Jan-24,01-Jan-24,REF  100004240101221951110167651842   _4000248748,"2,178.00",100004240101221951110167651842
01-Jan-24,01-Jan-24,REF  100004240101223248110167681888   _0000626593,"53,000.00",100004240101223248110167681888
01-Jan-24,01-Jan-24,REF  100004240101223445110168686054   _0202935995,271.00,100004240101223445110168686054
01-Jan-24,01-Jan-24,REF  000004240101233649900262101941   _8440209134,"1,430.00",000004240101233649900262101941
01-Jan-24,01-Jan-24,REF  000004240101190931606831242487   _8441692724,"4,000.00",000004240101190931606831242487
01-Jan-24,01-Jan-24,REF  000012240101114241294507698000   _8441417514,"3,000.00",000012240101114241294507698000
01-Jan-24,01-Jan-24,REF  000013240101175821000062166963   _8441953629,"238,600.00",000013240101175821000062166963
01-Jan-24,01-Jan-24,REF  100004240101133721110155352078   _8441755517,"5,000.00",100004240101133721110155352078
01-Jan-24,01-Jan-24,REF  999999240101130652900810167590   _0000262661,"500,000.00",999999240101130652900810167590
