postdate,Valdate,Details, Amount , UD1 
01-Nov-24,01-Nov-24,REF 117938610273 & 0000427154-251017,8600.00,117938610273
01-Nov-24,01-Nov-24,REF 115845531314 & 0000427155-251018,4195.00,115845531314
01-Nov-24,01-Nov-24,REF 756352139812 & 0000223003-251019,8100.00,756352139812
01-Nov-24,01-Nov-24,REF 165105072115 & 0000285474-251020,3700.00,165105072115
01-Nov-24,01-Nov-24,REF 940037756709 & 0000427153-251021,3480.00,940037756709
01-Nov-24,01-Nov-24,REF 237075366887 & 0000223006-235929,2600.00,237075366887
01-Nov-24,01-Nov-24,REF 058234149105 & 0000427154-251022,29100.00,058234149105
01-Nov-24,01-Nov-24,REF 377381101973 & 0000224003-235930,15200.00,377381101973
01-Nov-24,01-Nov-24,REF 472702129911 & 0000224003-235931,12700.00,472702129911
01-Nov-24,01-Nov-24,REF 328765256930 & 0000224003-235932,6100.00,328765256930
01-Nov-24,01-Nov-24,REF 876692687525 & 0000427164-251024,8100.00,876692687525
01-Nov-24,01-Nov-24,REF 588545536561 & 0000285471-251025,8764.00,588545536561
01-Nov-24,01-Nov-24,REF 695055272276 & 0000427164-251026,6100.00,695055272276
01-Nov-24,01-Nov-24,REF 294778696455 & 0000224003-235935,16300.00,294778696455
01-Nov-24,01-Nov-24,REF 799345573581 & 0000427164-251027,12100.00,799345573581
01-Nov-24,01-Nov-24,REF 658264776984 & 0000223006-251028,2850.00,658264776984
01-Nov-24,01-Nov-24,REF 231830774235 & 0000427164-251029,25100.00,231830774235
01-Nov-24,01-Nov-24,REF 186370411366 & 0000223006-251030,7600.00,186370411366
01-Nov-24,01-Nov-24,REF 112240032240 & 0000285471-251031,1786.00,112240032240
01-Nov-24,01-Nov-24,REF 738642731228 & 0000223006-251032,103300.00,738642731228
01-Nov-24,01-Nov-24,REF 566806510501 & 0000285471-251033,9100.00,566806510501
01-Nov-24,01-Nov-24,REF 622719691456 & 0000285471-251034,710.00,622719691456
01-Nov-24,01-Nov-24,REF 461215698160 & 0000223006-251035,5760.00,461215698160
01-Nov-24,01-Nov-24,REF 549791637015 & 0000285471-251036,3488.00,549791637015
01-Nov-24,01-Nov-24,REF 554611999280 & 0000224004-251037,5300.00,554611999280
01-Nov-24,01-Nov-24,REF 463584922873 & 0000427163-251038,18100.00,463584922873
01-Nov-24,01-Nov-24,REF 516797734347 & 0000224003-235936,9800.00,516797734347
01-Nov-24,01-Nov-24,REF 700851252296 & 0000427153-251039,4655.00,700851252296
01-Nov-24,01-Nov-24,REF 421466433486 & 0000285473-251040,1230.00,421466433486
01-Nov-24,01-Nov-24,REF 309953652834 & 0000285471-251041,22000.00,309953652834
01-Nov-24,01-Nov-24,REF 690087255655 & 0000285471-251042,16400.00,690087255655
01-Nov-24,01-Nov-24,REF 463193990054 & 0000561233-251043,30900.00,463193990054
01-Nov-24,01-Nov-24,REF 139447360338 & 0000224003-235937,13100.00,139447360338
01-Nov-24,01-Nov-24,REF 123935092719 & 0000224010-235938,3750.00,123935092719
01-Nov-24,01-Nov-24,REF 231847486093 & 0000224004-235939,790.00,231847486093
01-Nov-24,01-Nov-24,REF 023862711955 & 0000224003-235940,5900.00,023862711955
01-Nov-24,01-Nov-24,REF 759792330944 & 0000427164-251044,8100.00,759792330944
01-Nov-24,01-Nov-24,REF 321196750591 & 0000427163-251045,14400.00,321196750591
01-Nov-24,01-Nov-24,REF 034231007809 & 0000224003-235941,8100.00,034231007809
01-Nov-24,01-Nov-24,REF 005007210209 & 0000223006-251046,33500.00,005007210209
01-Nov-24,01-Nov-24,REF 979000272960 & 0000427153-251047,314500.00,979000272960
01-Nov-24,01-Nov-24,REF 289020643887 & 0000522934-251048,5000.00,289020643887
01-Nov-24,01-Nov-24,REF 107930442634 & 0000427164-251049,10145.00,107930442634
01-Nov-24,01-Nov-24,REF 034361525071 & 0000285472-251051,13100.00,034361525071
01-Nov-24,01-Nov-24,REF 650668275839 & 0000285473-251052,1400.00,650668275839
01-Nov-24,01-Nov-24,REF 576099768537 & 0000285473-251053,10100.00,576099768537
01-Nov-24,01-Nov-24,REF 872114041810 & 0000427164-251054,23725.00,872114041810
01-Nov-24,01-Nov-24,REF 180190482516 & 0000285473-251055,3540.00,180190482516
01-Nov-24,01-Nov-24,REF 989795838443 & 0000427163-251056,8100.00,989795838443
01-Nov-24,01-Nov-24,REF 577927710401 & 0000427163-251057,6100.00,577927710401
01-Nov-24,01-Nov-24,REF 384209134731 & 0000223006-235943,135100.00,384209134731
01-Nov-24,01-Nov-24,REF 701146317557 & 0000223006-235944,74100.00,701146317557
01-Nov-24,01-Nov-24,REF 126917354083 & 0000223006-235945,10100.00,126917354083
01-Nov-24,01-Nov-24,REF 405874267214 & 0000224004-235946,1800.00,405874267214
01-Nov-24,01-Nov-24,REF 898542076239 & 0000427164-251059,33885.00,898542076239
01-Nov-24,01-Nov-24,REF 405393340319 & 0000224004-235947,1981.00,405393340319
01-Nov-24,01-Nov-24,REF 329053660602 & 0000224004-235948,2350.00,329053660602
01-Nov-24,01-Nov-24,REF 834591489525 & 0000224004-235950,32600.00,834591489525
01-Nov-24,01-Nov-24,REF 111453800984 & 0000285471-235949,8645.00,111453800984
01-Nov-24,01-Nov-24,REF 420570821121 & 0000224004-235951,26800.00,420570821121
01-Nov-24,01-Nov-24,REF 723191733766 & 0000223006-235952,14200.00,723191733766
01-Nov-24,01-Nov-24,REF 195938615013 & 0000427154-251060,5100.00,195938615013
01-Nov-24,01-Nov-24,REF 706237711327 & 0000224004-251063,1140.00,706237711327
01-Nov-24,01-Nov-24,REF 793858724245 & 0000427154-251064,3500.00,793858724245
01-Nov-24,01-Nov-24,REF 580281766294 & 0000427164-251065,12700.00,580281766294
01-Nov-24,01-Nov-24,REF 042884742321 & 0000427154-251066,18600.00,042884742321
01-Nov-24,01-Nov-24,REF 374166530458 & 0000427163-251068,8100.00,374166530458
01-Nov-24,01-Nov-24,REF 333724242432 & 0000427154-251069,46350.00,333724242432
01-Nov-24,01-Nov-24,REF 675951698360 & 0000223006-235957,31000.00,675951698360
01-Nov-24,01-Nov-24,REF 583600862740 & 0000427153-251070,9256.00,583600862740
01-Nov-24,01-Nov-24,REF 816861030017 & 0000427164-251071,14750.00,816861030017
01-Nov-24,01-Nov-24,REF 482509522359 & 0000223006-235958,10800.00,482509522359
01-Nov-24,01-Nov-24,REF 332249577965 & 0000427153-251072,22675.00,332249577965
01-Nov-24,01-Nov-24,REF 931483092079 & 0000427153-251073,21720.00,931483092079
01-Nov-24,01-Nov-24,REF 585856548821 & 0000610257-251074,200.00,585856548821
01-Nov-24,01-Nov-24,REF 515110138046 & 0000223006-235959,17100.00,515110138046
01-Nov-24,01-Nov-24,REF 540806549388 & 0000266755-235961,1000.00,540806549388
01-Nov-24,01-Nov-24,REF 928597557113 & 0000223006-235962,6600.00,928597557113
01-Nov-24,01-Nov-24,REF 936942501659 & 0000285473-251075,7600.00,936942501659
01-Nov-24,01-Nov-24,REF 923610776220 & 0000427153-251076,26850.00,923610776220
01-Nov-24,01-Nov-24,REF 705383902041 & 0000427164-251077,10100.00,705383902041
01-Nov-24,01-Nov-24,REF 772798615615 & 0000427164-251082,4550.00,772798615615
01-Nov-24,01-Nov-24,REF 076323135185 & 0000285473-251083,13900.00,076323135185
01-Nov-24,01-Nov-24,REF 780105654871 & 0000427164-251085,4211.00,780105654871
01-Nov-24,01-Nov-24,REF 871680657354 & 0000285473-251086,3510.00,871680657354
01-Nov-24,01-Nov-24,REF 908882103158 & 0000224004-235963,8050.00,908882103158
01-Nov-24,01-Nov-24,REF 143639972064 & 0000285471-235964,10900.00,143639972064
01-Nov-24,01-Nov-24,REF 084454377056 & 0000285473-251088,1058.00,084454377056
01-Nov-24,01-Nov-24,REF 027229381156 & 0000266755-235965,10200.00,027229381156
01-Nov-24,01-Nov-24,REF 236330185010 & 0000224004-235966,6600.00,236330185010
01-Nov-24,01-Nov-24,REF 368018688139 & 0000285473-251090,20100.00,368018688139
01-Nov-24,01-Nov-24,REF 262721580456 & 0000285473-251091,30200.00,262721580456
01-Nov-24,01-Nov-24,REF 937447868251 & 0000285473-251092,7100.00,937447868251
01-Nov-24,01-Nov-24,REF 510935559430 & 0000285473-235967,13300.00,510935559430
01-Nov-24,01-Nov-24,REF 671025797833 & 0000427164-251093,39050.00,671025797833
01-Nov-24,01-Nov-24,REF 658291130704 & 0000285473-251094,2049.00,658291130704
01-Nov-24,01-Nov-24,REF 029907554021 & 0000427164-251095,10850.00,029907554021
01-Nov-24,01-Nov-24,REF 137535309711 & 0000224004-235969,19000.00,137535309711
01-Nov-24,01-Nov-24,REF 169436791836 & 0000224004-235970,8850.00,169436791836
01-Nov-24,01-Nov-24,REF 727813527362 & 0000285473-251096,530.00,727813527362
01-Nov-24,01-Nov-24,REF 047773242877 & 0000285473-251097,25200.00,047773242877
01-Nov-24,01-Nov-24,REF 071602126464 & 0000285473-251098,50200.00,071602126464
01-Nov-24,01-Nov-24,REF 736266765705 & 0000285473-251099,30200.00,736266765705
01-Nov-24,01-Nov-24,REF 155545851521 & 0000285473-251100,15100.00,155545851521
01-Nov-24,01-Nov-24,REF 220634493426 & 0000285473-251101,10100.00,220634493426
01-Nov-24,01-Nov-24,REF 868396182363 & 0000285473-251102,20100.00,868396182363
01-Nov-24,01-Nov-24,REF 297378521651 & 0000427164-251103,2800.00,297378521651
01-Nov-24,01-Nov-24,REF 417334762470 & 0000285473-251104,50000.00,417334762470
01-Nov-24,01-Nov-24,REF 125267788323 & 0000285473-251105,50000.00,125267788323
01-Nov-24,01-Nov-24,REF 003167344696 & 0000285473-251106,50000.00,003167344696
01-Nov-24,01-Nov-24,REF 060528935259 & 0000285473-251107,19200.00,060528935259
01-Nov-24,01-Nov-24,REF 033894702567 & 0000427164-251108,880.00,033894702567
01-Nov-24,01-Nov-24,REF 007325899632 & 0000285473-251109,10100.00,007325899632
